Model: qwen3:8b (ollama)
Prompt: /home/joshuachen/work/strong_number_embedding/llm_direct_sn_unv2notyet/survey4_self_supervised_prompt_tuning/prompts/survey4_v0.1.md (2884 chars)
Dims to run: [1]

  Dim #1 — SN count — 簡單短節 (≤8) (32 candidates)
    Round 1/32: Gen 25:14 as example → 8 opponents [0.0m]
      Gen 25:14       → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Gen 25:14       → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 25:14       → 2Sam 5:16        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 25:14       → Acts 7:50        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 25:14       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 25:14       → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 25:14       → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 25:14       → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 2/32: 2Sam 5:16 as example → 8 opponents [0.2m]
      2Sam 5:16       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 5:16       → Luke 3:24        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Sam 5:16       → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 5:16       → Rom 15:33        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      2Sam 5:16       → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 5:16       → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 5:16       → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Sam 5:16       → Ezek 38:5        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 3/32: Isa 3:19 as example → 8 opponents [0.5m]
      Isa 3:19        → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:19        → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Isa 3:19        → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:19        → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:19        → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:19        → Gen 10:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:19        → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Isa 3:19        → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 4/32: Luke 3:38 as example → 8 opponents [0.7m]
      Luke 3:38       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:38       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:38       → Jas 1:16         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:38       → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Luke 3:38       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:38       → Luke 3:24        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Luke 3:38       → Acts 15:15       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:38       → Gen 25:14        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 5/32: Rom 1:31 as example → 8 opponents [0.9m]
      Rom 1:31        → Jas 1:8          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Rom 1:31        → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Rom 1:31        → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 1:31        → 2Sam 5:16        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 1:31        → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 1:31        → 1Pet 3:2         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Rom 1:31        → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 1:31        → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
    Round 6/32: Heb 13:25 as example → 8 opponents [1.1m]
      Heb 13:25       → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 13:25       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
